42;SDRP;Source Demand Routing Protocol, [DXE1]
43;IPv6-Route;Routing Header for IPv6, [Deering]
44;IPv6-Frag;Fragment Header for IPv6, [Deering]
45;IDRP;Inter-Domain Routing Protocol, [Sue Hares]
46;RSVP;Reservation Protocol, [Bob Braden]
47;GRE;General Routing Encapsulation, [Tony Li]
48;MHRP;Mobile Host Routing Protocol, [David Johnson]
49;BNA;BNA, [Gary Salamon]
50;ESP;Encap Security Payload, [RFC2406]
51;AH;Authentication Header, [RFC2402]
52;I-NLSP;Integrated Net Layer Security, TUBA [GLENN]
53;SWIPE;IP with Encryption, [JI6]
54;NARP;NBMA Address Resolution Protocol, [RFC1735]
55;MOBILE;IP Mobility, [Perkins]
56;TLSP;Transport Layer Security Protocol, [Oberg]
57;SKIP;SKIP, [Markson]
58;IPv6-ICMP;ICMP for IPv6, [RFC1883]
59;IPv6-NoNxt;No Next Header for IPv6, [RFC1883]
60;IPv6-Opts;Destination Options for IPv6, [RFC1883]
61;Any-Host-Internal;any host internal protocol, [IANA]
62;CFTP;CFTP, [CFTP,HCF2]
63;Any-Local-Network;any local network, [IANA]
64;SAT-EXPAK;SATNET and Backroom EXPAK, [SHB]
65;KRYPTOLAN;Kryptolan, [PXL1]
66;RVD;MIT Remote Virtual Disk Protocol, [MBG]
67;IPPC;Internet Pluribus Packet Core, [SHB]
68;Any-DFS;any distributed file systtem, [IANA]
69;SAT-MON;SATNET Monitoring, [SHB]
70;VISA;VISA Protocol, [GXT1]
71;IPCV;Internet Packet Core Utility, [SHB]
72;CPNX;Computer Protocol Network Executive, [DXM2]
73;CPHB;Computer Protocol Heart Beat, [DXM2]
74;WSN;Wang Span Network, [VXD]
75;PVP;Packet Video Protocol, [SC3]
76;BR-SAT-MON;Backroom SATNET Monitoring, [SHB]
77;SUN-ND;SUN ND PROTOCOL-Temporary, [WM3]
78;WB-MON;WIDEBAND Monitoring, [SHB]
79;WB-EXPAK;WIDEBAND EXPAK, [SHB]
80;ISO-IP;ISO Internet Protocol, [MTR]
81;VMTP;VMTP, [DRC3]
82;SECURE-VMTP;SECURE-VMTP, [DRC3]
83;VINES;VINES, [BXH]
84;TTP;TTP, [JXS]
85;NSFNET-IGP;NSFNET-IGP, [HWB]
86;DGP;Dissimilar Gateway Protocol, [DGP,ML109]
87;TCF;TCF, [GAL5]
88;EIGRP;EIGRP, [CISCO,GXS]
89;OSPF;OSPFIGP, [RFC1583,JTM4]
90;Sprite-RPC;Sprite RPC Protocol, [SPRITE,BXW]
91;LARP;Locus Address Resolution Protocol, [BXH]
92;MTP;Multicast Transport Protocol, [SXA]
93;AX.25;AX.25 Frames, [BK29]
94;IPIP;IP-within-IP Encapsulation Protocol, [JI6]
95;MICP;Mobile Internetworking Control Protocol, [JI6]
96;SCC-SP;Semaphore Communications Sec. Pro., [HXH]
97;ETHERIP;Ethernet-within-IP Encapsulation, [RFC3378]
98;ENCAP;Encapsulation Header, [RFC1241,RXB3]
99;Any-Private-Enc;any private encryption scheme, [IANA]
100;GMTP;GMTP, [RXB5]
101;IFMP;Ipsilon Flow Management Protocol, [Hinden]
102;PNNI;PNNI over IP, [Callon]
103;PIM;Protocol Independent Multicast, [Farinacci]
104;ARIS;ARIS, [Feldman]
105;SCPS;SCPS, [Durst]
106;QNX;NX, [Hunter]
107;A/N;tive Networks, [Braden]
108;IPComp;P Payload Compression Protocol, [RFC2393]
109;SNP;tara Networks Protocol, [Sridhar]
110;Compaq-Peer;ompaq Peer Protocol, [Volpe]
111;IPX-in-IP;PX in IP, [Lee]
112;VRRP;irtual Router Redundancy Protocol, [RFC3768]
113;PGM;PGM Reliable Transport Protocol, [Speakman]
114;Any-0-Hop;any 0-hop protocol, [IANA]
115;L2TP;ayer Two Tunneling Protocol, [Aboba]
116;DDX;Data Exchange (DDX), [Worley]
117;IATP;eractive Agent Transfer Protocol, [Murphy]
118;STP;Schedule Transfer Protocol, [JMP]
119;SRP;pectraLink Radio Protocol, [Hamilton]
120;UTI;[Lothberg]
121;SMP;Simple Message Protocol, [Ekblad]
122;SM;[Crowcroft]
123;PTP;Performance Transparency Protocol, [Welzl]
124;ISIS-over-IPv4;[Przygienda]
125;FIRE;[Partridge]
126;CRTP;Combat Radio Transport Protocol, [Sautter]
127;CRUDP;Combat Radio User Datagram, [Sautter]
128;SSCOPMCE;[Waber]
129;IPLT;[Hollbach]
130;SPS;Secure Packet Shield, [McIntosh]
131;PIPE;Private IP Encapsulation within IP, [Petri]
132;SCTP;Stream Control Transmission Protocol, [Stewart]
133;FC;Channel, [Rajagopal]
134;RSVP-E2E-IGNORE;[RFC3175]
135;Mobility-Header;[RFC3775]
136;UDPLite;[RFC3828]
137;MPLS-in-IP;[RFC-ietf-mpls-in-ip-or-gre-08.txt]
138;unassigned;[IANA]
139;unassigned;[IANA]
140;unassigned;[IANA]
141;unassigned;[IANA]
142;unassigned;[IANA]
143;unassigned;[IANA]
144;unassigned;[IANA]
145;unassigned;[IANA]
146;unassigned;[IANA]
147;unassigned;[IANA]
148;unassigned;[IANA]
149;unassigned;[IANA]
150;unassigned;[IANA]
151;unassigned;[IANA]
152;unassigned;[IANA]
153;unassigned;[IANA]
154;unassigned;[IANA]
155;unassigned;[IANA]
156;unassigned;[IANA]
157;unassigned;[IANA]
158;unassigned;[IANA]
159;unassigned;[IANA]
160;unassigned;[IANA]
161;unassigned;[IANA]
162;unassigned;[IANA]
163;unassigned;[IANA]
164;unassigned;[IANA]
165;unassigned;[IANA]
166;unassigned;[IANA]
167;unassigned;[IANA]
168;unassigned;[IANA]
169;unassigned;[IANA]
170;unassigned;[IANA]
171;unassigned;[IANA]
172;unassigned;[IANA]
173;unassigned;[IANA]
174;unassigned;[IANA]
175;unassigned;[IANA]
176;unassigned;[IANA]
177;unassigned;[IANA]
178;unassigned;[IANA]
179;unassigned;[IANA]
180;unassigned;[IANA]
181;unassigned;[IANA]
182;unassigned;[IANA]
183;unassigned;[IANA]
184;unassigned;[IANA]
185;unassigned;[IANA]
186;unassigned;[IANA]
187;unassigned;[IANA]
188;unassigned;[IANA]
189;unassigned;[IANA]
190;unassigned;[IANA]
191;unassigned;[IANA]
192;unassigned;[IANA]
193;unassigned;[IANA]
194;unassigned;[IANA]
195;unassigned;[IANA]
196;unassigned;[IANA]
197;unassigned;[IANA]
198;unassigned;[IANA]
199;unassigned;[IANA]
200;unassigned;[IANA]
201;unassigned;[IANA]
202;unassigned;[IANA]
203;unassigned;[IANA]
204;unassigned;[IANA]
205;unassigned;[IANA]
206;unassigned;[IANA]
207;unassigned;[IANA]
208;unassigned;[IANA]
209;unassigned;[IANA]
210;unassigned;[IANA]
211;unassigned;[IANA]
212;unassigned;[IANA]
213;unassigned;[IANA]
214;unassigned;[IANA]
215;unassigned;[IANA]
216;unassigned;[IANA]
217;unassigned;[IANA]
218;unassigned;[IANA]
219;unassigned;[IANA]
220;unassigned;[IANA]
221;unassigned;[IANA]
222;unassigned;[IANA]
223;unassigned;[IANA]
224;unassigned;[IANA]
225;unassigned;[IANA]
226;unassigned;[IANA]
227;unassigned;[IANA]
228;unassigned;[IANA]
229;unassigned;[IANA]
230;unassigned;[IANA]
231;unassigned;[IANA]
232;unassigned;[IANA]
233;unassigned;[IANA]
234;unassigned;[IANA]
235;unassigned;[IANA]
236;unassigned;[IANA]
237;unassigned;[IANA]
238;unassigned;[IANA]
239;unassigned;[IANA]
240;unassigned;[IANA]
241;unassigned;[IANA]
242;unassigned;[IANA]
243;unassigned;[IANA]
244;unassigned;[IANA]
245;unassigned;[IANA]
246;unassigned;[IANA]
247;unassigned;[IANA]
248;unassigned;[IANA]
249;unassigned;[IANA]
250;unassigned;[IANA]
251;unassigned;[IANA]
252;unassigned;[IANA]
253;unassigned;experimental [RFC3692]
254;unassigned;experimental [RFC3692]
255;unassigned;reserved [IANA]
